username,tweet,remove_user,value,,,,
p49820494,@linkaja Di pandemi gini buat keluar kemana-mana itu susah mau ga mau tetep harus keluar.Tapi setelah tau fitur ewallet salah satunya @linkaja akhirnya buat beli perlengkapan sekolah lain² berlangganan di aplikasi belajar jadi lebih mudah #lengkapnyauntu, Di pandemi gini buat keluar kemana-mana itu susah mau ga mau tetep harus keluar.Tapi setelah tau fitur ewallet salah satunya  akhirnya buat beli perlengkapan sekolah lain² berlangganan di aplikasi belajar jadi lebih mudah #lengkapnyauntuksemua #pengalamanbaru,positif,,,,
desty007,@gowjek Selama masa pandemi ini saya sudah males banget transaksi dengan uang tunai sekarang lebih andalkan e-wallet buat semua aktivitas. Dari naik KRL bayar ojek online jajan di mall sampai beli pulsa dan kuota selalu gunakan ewallet. Kalian juga gak? B, Selama masa pandemi ini saya sudah males banget transaksi dengan uang tunai,,,,,
bimaswr,@maricyaaahhh pandemi tidak menghalangi thr fren sedia ovo dana shopeepay gopay tinggal milih wes, pandemi tidak menghalangi thr fren,, gopay, tinggal milih wes;positif,,
katadatacoid,Masyarakat beralih ke layanan digital saat pandemi corona salah satunya pembayaran non-tunai. @ShopeePay_ID @ovo_id dan @danawallet mencatatkan lonjakan jumlah pengguna hingga 267%.   https://t.co/6InMXemmgr,Masyarakat beralih ke layanan digital saat pandemi corona,,,,,
idwartajateng,@tiket dan @ShopeePay_ID bekerja sama memberi kemudahan bagi para pengguna merencanakan liburan yang aman dan nyaman di tengah pandemi. #wartajateng    https://t.co/uUu3nuDFWN, dan @ShopeePay_ID bekerja sama memberi kemudahan bagi para pengguna merencanakan liburan yang aman dan nyaman di tengah pandemi. #wartajateng    https://t.co/uUu3nuDFWN,positif,,,,
alraiueo,@ShopeeCare salah dua2nya min 😀 buktinya saya selalu bayar tagihan tepat waktu aktif pake shopeepay sama paylater juga. tp akun saya udah masuk setahun limitnya dibikin jd 0 ga dibalik2in sampe skrg alasannya gara2 pandemi😄🤭, salah dua2nya min 😀 buktinya saya selalu bayar tagihan tepat waktu,,,,,
tomioo_,@ShopeePay_ID Semenjak pandemi aku harus lebih cermat dalam berbelanja. Untung ada promo Voucher ShopeePay Rp 1 nih. Bayar kebutuhan belanja tinggal scan tanpa tunai. Jadi kebutuhan dapur tetap aman dan juga hemat #ShopeeSMS #FotoMantulSale @hermavvan @ad, Semenjak pandemi aku harus lebih cermat dalam berbelanja. Untung ada promo Voucher ShopeePay Rp 1 nih. Bayar kebutuhan belanja tinggal scan tanpa tunai. Jadi kebutuhan dapur tetap aman dan juga hemat #ShopeeSMS #FotoMantulSale @hermavvan @adeSur9 @SimonJufr  https://t.co/wY9BP4uLZY,positif,,,,
hetty_ke,@ShopeeID selama pandemi jadi suka blnja online khususnya di shopee krn ada gratis ongkir n gampang byrnya pke shopeepay dpt potongan lg enak deh pokoknya blnja di shopee puas bgtt, selama pandemi jadi suka blnja online khususnya di shopee krn ada gratis ongkir n gampang byrnya pke shopeepay dpt potongan lg enak deh pokoknya blnja di shopee puas bgtt,positif,,,,
yocipaa,@bintangemon temen kos pernah pinjem 100k krn keburu pandemi jd balikinnya mau ditransfer tp ternyata beda bank. akhirnya aku suruh buat top up shopeepay aja di alfamart biar gada biaya admin wkwk, temen kos pernah pinjem 100k krn keburu pandemi jd balikinnya mau ditransfer tp ternyata beda bank. akhirnya aku suruh buat top up shopeepay aja di alfamart biar gada biaya admin wkwk,positif,,,,
adikaraputra,Mau verifikasi akun @ShopeePay_ID ditolak karena KTP rusak karena ada cuil akibat dulu sempat tercuci di mesin cuci. Mau benarkan KTP ya takut masa pandemi gini. Padahal OVO Premier GoPay Plus lolos saja. Berarti tidak berjodoh dengan @ShopeeID jodohnya dgn e-commerce lainnya,Mau verifikasi akun  ditolak karena KTP rusak karena ada cuil akibat dulu sempat tercuci di mesin cuci. Mau benarkan KTP ya takut masa pandemi gini. Padahal OVO Premier,,,,,
falsegodamn,@ShopeePay_ID min sya gapernah telat bayar transaksi sya udah ditingkatkan ampe jadi gold dari awal pandemi sampe skrg akun sya masih belom bisa dipakai spaylater nya padahal temen yg lain yg average transaksi dibawah sya udah pada aktif., min sya gapernah telat bayar,,,,,
hellovejk,@tanyainrl 6k doang anjrt  semenjak pandemi gni gue lebih sring nyimpen duit di gopay ovo shopeepay :((, 6k doang anjrt ,,,,,
1stheya,@subschfess Uang nder 😭👍 pandemi ginikan mending pkek ovo/tf/shopeepay hikd, Uang nder 😭👍 pandemi ginikan mending pkek ovo/tf/shopeepay hikd,positif,,,,
yeppeodoy,@ShopeeID Min banyakin gratis ongkir COD dong minlagi pandemi gini susah buat isi shopee pay atau bayar via bank atau supermarket.lebih nyaman COD, Min banyakin gratis ongkir COD dong min,,,,,
midtrans_com,@ShopeePay_ID jadi salah satu e-wallet yang paling banyak dipilih pembeli selama pandemi (*riset @MarkPlus_Inc dan @Ipsos_Indonesia).  Tambahkan metode pembayaran ShopeePay di toko online Anda aktivasi cepat dan mudah lewat Midtrans!  https://t.co/mr9Jtzn, jadi salah satu e-wallet yang paling banyak dipilih pembeli selama pandemi (*riset @MarkPlus_Inc dan @Ipsos_Indonesia).  Tambahkan metode pembayaran ShopeePay di toko online Anda,,,,,
 ,Citilink dan ShopeePay Wujudkan Penerbangan Aman dan Terjangkau di Masa Pandemi  https://t.co/EffQLdJT0L via @indoict,Citilink dan ShopeePay Wujudkan Penerbangan Aman dan Terjangkau di Masa Pandemi  https://t.co/EffQLdJT0L via ,positif,,,,
ak63____,@ShopeeID saya mau tanya kenapa ya shopee pay latter saya dari awal pandemi sampai sekarang masih di 0 kan?? Padahal banyak akun teman saya justru pay latter nya sudah ditambahkan malahan limit nya. Dan tidak di 0 kan sedangkan akun saya masih di 0 kan, saya mau tanya kenapa ya shopee pay latter saya dari awal pandemi sampai sekarang masih di 0 kan?? Padahal banyak akun teman saya justru pay latter nya sudah ditambahkan malahan limit nya. Dan tidak di 0 kan,,,,,
