userName,score,at,content,Label
PakX Lewa,1,2023-08-19 15:16:37,"Parah, setiap update harus download dari awal yang hampir 4gb, dan kalo pas sementara download patchnya tiba2 terputus, harus ulang download dari awal, bug lag dan delay pas masuk event dungeon dan lain lain, tidak di perbaiki. Game terparah sepanjang masa",Negatif
Jokerian 24,1,2023-08-23 03:47:38,"Rating saya turunkan, Parah update 3.8 GB tidak diapa2in, semacam jeda sendiri dan bila diteruskan mengulang dari awal, Udah dicoba 5 kali dan ngga bisa terus, Koneksi Wifi padahal stabil dan buat update game lain yang bahkan lebih besar ukurane masih oke2 aja",Negatif
Yandri Tarigan,1,2023-09-01 22:52:50,"Sejak update game di Agustus, saat dimainkan selalu Force close dalam 5 menit, coba di reinstall hasilnya tetep sama, sudah banyak yg mengeluhkan case ini, tapi tidak ada perbaikan",Negatif
Miftah Ikhsan,2,2023-08-31 08:28:52,"Gamenya bagus, gameplay juga bagus, stroynya juga keren cuma kalau semua yg kita lakukan ada durasi seperti daily combat duration apa gunanya mainnya, seperti kita dibatasi mainnya, meding kalau expnya aja yg dihilangin ni semuanya dari drop item, kartu dan lain lain",Negatif
Neng Ren,2,2023-08-29 01:59:59,"Mohon diperbaiki , download update dari tadi putus, dan selalu mengulang dari awal lagi... Dan sudah menguras paket data 10 GB.. tolong diperbaiki. Knp selalu ulang donlot path konten game terus..",Negatif
Harly Budi Hartono,4,2023-08-21 03:45:47,"Untuk yang gagal update yg 3Gb. Bagus clear datanya dan download ulang aja. Ini updatenya ramah dengan memory si, dia hapusin update yg ga guna trs di perbarui. Cuma ga ramah di data, Yah kalau mau aman pakai wifi aja.",Positif
Karunia Linuwih,1,2023-08-29 09:43:33,"Ini kenapa sejak updet terakhir Playstore di HP Android tiap kali main kok selalu harus updet ulang. Pas main dan Dc + FC itu trus mau masuk game nya harus download ulang lagi dari awal dan itu 3,8Gb++ itu enggak sedikit loh. Dulu pas main lancar"" aja tpi skrg mulai gak nyaman main ini game. Tolong ini beneran gak nyaman buat saya dan develop harus segera benerin ini bug.",Negatif
Rizaldy Ardhiansyah,5,2023-09-02 08:09:16,"Sebaiknya kembalikan saja Original play mode ragnarok seperti transaksi jual beli antar player melalui vending job merchant, vending hanya bisa dilakukan rangkaian job merchant, dan bisa leluasa selama 24 jam per hari hunting exp dan item.. item 2x 3x or more exp/drop bisa dibeli dengan nyan bery.",Positif
Lay Hendra,1,2023-08-20 01:12:01,"Game tolol.. resource tiba-tiba hilang, download gagal terus. Rendering parah Harus top up, ga top up = ampas. WOE f2p berebutan mau masuk portal, sultan bs lngsung msk portal. Parah² mmorpg mobile skrg nyedot duitnya.. Auto uninnstall",Negatif
Galih Bayu,1,2023-08-25 09:27:25,"Update 50mb, setelah update di dlm di suruh download hmpir 4gb lagi, pdahal kemarin sudah, 3x pula...ini yg ke 4xnya. Bagi yg mengulang lagi kita SPAM RATING BINTANG 🌟 1 SAJA!!!!",Negatif
Sri Wahyuni,2,2023-09-01 18:17:27,"Gamenya menarik tapi kok saya saat login habis itu saya coba mainin kok gak bisa padahal sudahasukinn akun dan buat karakter tapi tulisannya tunggu sebentar trus habis itu disuruh login ulang terus Tolong di perbaiki lagi soalnya sudah menghabiskan 5,5gb itu tidahlah sedikit yaa kasian yang gak punya Kouta tolong di perbaiki lagi",Negatif
